kind,srg_name,owner,descriptor,hint_vanilla_name,MITE_candidates_same_desc,called_by
method,func_70909_n,net/minecraft/entity/passive/EntityTameable,()Z,isTamed,net/minecraft/entity/passive/EntityTameable::isTamed | net/minecraft/entity/passive/EntityTameable::isSitting | net/minecraft/entity/passive/EntityAnimal::isAIEnabled | net/minecraft/entity/passive/EntityAnimal::canDespawn | net/minecraft/entity/passive/EntityAnimal::canEat | net/minecraft/entity/passive/EntityAnimal::isInLove | net/minecraft/entity/passive/EntityAnimal::isOnLadder | net/minecraft/entity/EntityAgeable::isChild | net/minecraft/entity/EntityCreature::isMovementCeased | net/minecraft/entity/EntityCreature::avoidsPathingThroughWater | net/minecraft/entity/EntityCreature::hasPath | net/minecraft/entity/EntityCreature::hasHome | net/minecraft/entity/EntityLiving::hasEquipment | net/minecraft/entity/EntityLiving::isAIEnabled | net/minecraft/entity/EntityLiving::isConsideredInViewOfAnyPlayerForDespawningPurposes | net/minecraft/entity/EntityLiving::canDespawn | net/minecraft/entity/EntityLiving::isPreventedFromSwimmingDueToParalyzation | net/minecraft/entity/EntityLiving::canSpawnOnLeaves | net/minecraft/entity/EntityLiving::canBeSteered | net/minecraft/entity/EntityLiving::hasCustomNameTag | net/minecraft/entity/EntityLiving::getAlwaysRenderNameTag | net/minecraft/entity/EntityLiving::getAlwaysRenderNameTagForRender | net/minecraft/entity/EntityLiving::canPickUpLoot | net/minecraft/entity/EntityLiving::isNoDespawnRequired | net/minecraft/entity/EntityLiving::allowLeashing | net/minecraft/entity/EntityLiving::getLeashed | net/minecraft/entity/EntityLiving::canEat | net/minecraft/entity/EntityLiving::isNearLitTorch | net/minecraft/entity/EntityLiving::tryDisableNearbyLightSource | net/minecraft/entity/EntityLiving::isSpooked | net/minecraft/entity/EntityLiving::isValidLightLevel | net/minecraft/entity/EntityLiving::isEntityInvulnerable | net/minecraft/entity/EntityLiving::isDecoy | net/minecraft/entity/EntityLiving::requiresLineOfSightToTargets | net/minecraft/entity/EntityLiving::catchesFireInSunlight | net/minecraft/entity/EntityLiving::isTargettingAPlayer | net/minecraft/entity/EntityLiving::isFrenzied | net/minecraft/entity/EntityLiving::isComfortableInLava | net/minecraft/entity/EntityLivingBase::canBreatheUnderwater | net/minecraft/entity/EntityLivingBase::breathesAir | net/minecraft/entity/EntityLivingBase::isChild | net/minecraft/entity/EntityLivingBase::hasActivePotionEffects | net/minecraft/entity/EntityLivingBase::isEntityUndead | net/minecraft/entity/EntityLivingBase::isEntityBiologicallyAlive | net/minecraft/entity/EntityLivingBase::canBePoisoned | net/minecraft/entity/EntityLivingBase::isArthropod | net/minecraft/entity/EntityLivingBase::hasFullHealth | net/minecraft/entity/EntityLivingBase::isOnLadder | net/minecraft/entity/EntityLivingBase::isEntityAlive | net/minecraft/entity/EntityLivingBase::isWearingArmor | net/minecraft/entity/EntityLivingBase::isWearingPumpkinHelmet | net/minecraft/entity/EntityLivingBase::hasHeldItem | net/minecraft/entity/EntityLivingBase::isMovementBlocked | net/minecraft/entity/EntityLivingBase::getAlwaysRenderNameTagForRender | net/minecraft/entity/EntityLivingBase::isAIEnabled | net/minecraft/entity/EntityLivingBase::inBed | net/minecraft/entity/EntityLivingBase::healsWithTime | net/minecraft/entity/EntityLivingBase::canBeCollidedWith | net/minecraft/entity/EntityLivingBase::canBePushed | net/minecraft/entity/EntityLivingBase::isBadlyWounded | net/minecraft/entity/EntityLivingBase::fleesWhenBadlyWounded | net/minecraft/entity/EntityLivingBase::considerFleeing | net/minecraft/entity/EntityLivingBase::considerStopFleeing | net/minecraft/entity/EntityLivingBase::canCatchFire | net/minecraft/entity/EntityLivingBase::isHarmedByFire | net/minecraft/entity/EntityLivingBase::isHarmedByLava | net/minecraft/entity/EntityLivingBase::isHarmedByPepsin | net/minecraft/entity/EntityLivingBase::isHoldingItemThatPreventsHandDamage | net/minecraft/entity/EntityLivingBase::isHarmedByDrowning | net/minecraft/entity/EntityLivingBase::canBeDamagedByCacti | net/minecraft/entity/EntityLivingBase::canTakeDamageFromThrownEggs | net/minecraft/entity/EntityLivingBase::canBeKnockedBack | net/minecraft/entity/EntityLivingBase::canOnlyPerformWeakStrike | net/minecraft/entity/EntityLivingBase::isInRain | net/minecraft/entity/EntityLivingBase::isInPrecipitation | net/minecraft/entity/Entity::isDecoy | net/minecraft/entity/Entity::isEntityPlayer | net/minecraft/entity/Entity::isEntityFX | net/minecraft/entity/Entity::isInFire | net/minecraft/entity/Entity::canTriggerWalking | net/minecraft/entity/Entity::canDouseFire | net/minecraft/entity/Entity::canCatchFire | net/minecraft/entity/Entity::isHarmedByFire | net/minecraft/entity/Entity::isHarmedByLava | net/minecraft/entity/Entity::isHarmedByPepsin | net/minecraft/entity/Entity::isHarmedByAcid | net/minecraft/entity/Entity::isWet | net/minecraft/entity/Entity::isInWater | net/minecraft/entity/Entity::handleWaterMovement | net/minecraft/entity/Entity::handleLavaMovement | net/minecraft/entity/Entity::isRepelledByCollisionWithPlayer | net/minecraft/entity/Entity::isCorporeal | net/minecraft/entity/Entity::canBeCollidedWith | net/minecraft/entity/Entity::canBePushed | net/minecraft/entity/Entity::isWrittenToChunkNBT | net/minecraft/entity/Entity::shouldSetPosAfterLoading | net/minecraft/entity/Entity::isEntityAlive | net/minecraft/entity/Entity::isEntityInsideOpaqueBlock | net/minecraft/entity/Entity::isSilverfishInsideDamagingOpaqueBlock | net/minecraft/entity/Entity::isBurning | net/minecraft/entity/Entity::isRiding | net/minecraft/entity/Entity::isSneaking | net/minecraft/entity/Entity::isSprinting | net/minecraft/entity/Entity::isInvisible | net/minecraft/entity/Entity::isEating | net/minecraft/entity/Entity::canAttackWithItem | net/minecraft/entity/Entity::isEntityUndead | net/minecraft/entity/Entity::isEntityInvulnerable | net/minecraft/entity/Entity::doesEntityNotTriggerPressurePlate | net/minecraft/entity/Entity::canRenderOnFire | net/minecraft/entity/Entity::isExpectedToHaveUUID | net/minecraft/entity/Entity::isPushedByWater | net/minecraft/entity/Entity::hasSkyAbove | net/minecraft/entity/Entity::isOutdoors | net/minecraft/entity/Entity::isInSunlight | net/minecraft/entity/Entity::isInRain | net/minecraft/entity/Entity::isInPrecipitation | net/minecraft/entity/Entity::isSuspendedInLiquid | net/minecraft/entity/Entity::isImmuneToExplosion | net/minecraft/entity/Entity::spawnFragParticles | net/minecraft/entity/Entity::drawBackFaces | net/minecraft/entity/Entity::canBeDamagedByCacti | net/minecraft/entity/Entity::isEntityLivingBase | net/minecraft/entity/Entity::isEntityLiving | net/minecraft/entity/Entity::hasModelItem | net/minecraft/entity/Entity::onClient | net/minecraft/entity/Entity::onServer | net/minecraft/entity/Entity::doesYawHaveNorthComponent | net/minecraft/entity/Entity::doesYawHaveSouthComponent | net/minecraft/entity/Entity::doesYawHaveWestComponent | net/minecraft/entity/Entity::doesYawHaveEastComponent | net/minecraft/entity/Entity::isWithinTournamentSafeZone | net/minecraft/entity/Entity::isZevimrgvInTournament | net/minecraft/entity/Entity::isArrow | net/minecraft/entity/Entity::isHarmedByDrowning | net/minecraft/entity/Entity::canBeKnockedBack | net/minecraft/entity/Entity::canTakeDamageFromPlayerThrownSnowballs | net/minecraft/entity/Entity::isAddedToAChunk | net/minecraft/entity/Entity::isUnderOpenSky | net/minecraft/entity/Entity::isPlayerInCreative | net/minecraft/entity/Entity::isInUnderworld | net/minecraft/entity/Entity::isInNether | net/minecraft/entity/Entity::isTrueAnimal | net/minecraft/entity/Entity::isAtCoordsInQuestion,com/sk89q/worldedit/forge/ForgeEntityType
method,func_71045_bC,net/minecraft/entity/player/EntityPlayerMP,()Lnet/minecraft/item/ItemStack;,getCurrentEquippedItem,net/minecraft/entity/player/EntityPlayer::getItemInUse | net/minecraft/entity/player/EntityPlayer::getHeldItemStack | net/minecraft/entity/EntityLivingBase::getBoots | net/minecraft/entity/EntityLivingBase::getLeggings | net/minecraft/entity/EntityLivingBase::getCuirass | net/minecraft/entity/EntityLivingBase::getHelmet | net/minecraft/entity/EntityLivingBase::getHeldItemStack,com/sk89q/worldedit/forge/ForgePlayer
method,func_72353_e,net/minecraft/server/management/ServerConfigurationManager,(Ljava/lang/String;)Z,areCommandsAllowed,net/minecraft/server/management/ServerConfigurationManager::isAllowedToLogin | net/minecraft/server/management/ServerConfigurationManager::isPlayerWhiteListed | net/minecraft/server/management/ServerConfigurationManager::isPlayerOpped,com/sk89q/worldedit/forge/ForgeUtil
method,func_72361_f,net/minecraft/server/management/ServerConfigurationManager,(Ljava/lang/String;)Lnet/minecraft/entity/player/EntityPlayerMP;,getPlayerForUsername,net/minecraft/server/management/ServerConfigurationManager::createPlayerForUser | net/minecraft/server/management/ServerConfigurationManager::getPlayerForUsername,com/sk89q/worldedit/forge/ForgePlatform
method,func_72369_d,net/minecraft/server/management/ServerConfigurationManager,()[Ljava/lang/String;,getAllUsernames,net/minecraft/server/management/ServerConfigurationManager::getAllUsernames | net/minecraft/server/management/ServerConfigurationManager::getAvailablePlayerDat,com/sk89q/worldedit/forge/ForgePlatform
method,func_72567_b,net/minecraft/network/NetServerHandler,(Lnet/minecraft/network/packet/Packet;)V,sendPacketToAllPlayersTrackingEntity,net/minecraft/network/NetServerHandler::unexpectedPacket | net/minecraft/network/NetServerHandler::sendPacketToPlayer | net/minecraft/network/packet/NetHandler::unexpectedPacket,com/sk89q/worldedit/forge/ForgePlayer
method,func_72798_a,net/minecraft/world/World,(III)I,getBlockId,net/minecraft/world/World::getBlockId | net/minecraft/world/World::blockGetRenderType | net/minecraft/world/World::getBlockMetadata | net/minecraft/world/World::getFullBlockLightValue | net/minecraft/world/World::getBlockLightValue | net/minecraft/world/World::getSavedSkylightValue | net/minecraft/world/World::getSavedBlocklightValue | net/minecraft/world/World::getBlockPowerInput | net/minecraft/world/World::getStrongestIndirectPower,com/sk89q/worldedit/forge/ForgeWorld
method,func_72805_g,net/minecraft/world/World,(III)I,getBlockMetadata,net/minecraft/world/World::getBlockId | net/minecraft/world/World::blockGetRenderType | net/minecraft/world/World::getBlockMetadata | net/minecraft/world/World::getFullBlockLightValue | net/minecraft/world/World::getBlockLightValue | net/minecraft/world/World::getSavedSkylightValue | net/minecraft/world/World::getSavedBlocklightValue | net/minecraft/world/World::getBlockPowerInput | net/minecraft/world/World::getStrongestIndirectPower,com/sk89q/worldedit/forge/ForgeWorld
method,func_72837_a,net/minecraft/world/World,(IIILnet/minecraft/tileentity/TileEntity;)V,addEntity,net/minecraft/world/World::setBlockTileEntity | net/minecraft/world/World::markTileEntityChunkModified,com/sk89q/worldedit/forge/TileEntityUtils
method,func_72838_d,net/minecraft/world/World,(Lnet/minecraft/entity/Entity;)Z,spawnEntityInWorld,net/minecraft/world/World::addWeatherEffect | net/minecraft/world/World::spawnEntityInWorld | net/minecraft/world/World::isEntityObjectInLoadedEntityList | net/minecraft/world/World::isEntityWithSameClassAndUUIDInUnloadedEntityList | net/minecraft/world/World::isEntityObjectInUnloadedEntityList,com/sk89q/worldedit/forge/ForgeWorld
method,func_72845_h,net/minecraft/world/World,(III)V,isAirBlock,net/minecraft/world/World::markBlockForUpdate | net/minecraft/world/World::markBlockForRenderUpdate | net/minecraft/world/World::removeBlockTileEntity | net/minecraft/world/World::setSpawnLocation,com/sk89q/worldedit/forge/ForgeWorld
method,func_72851_f,net/minecraft/world/World,(IIII)V,checkChunksExist,net/minecraft/world/World::notifyBlockChange | net/minecraft/world/World::notifyBlocksOfNeighborChange | net/minecraft/world/World::notifyBlockOfNeighborChange | net/minecraft/world/World::setSkylightValue | net/minecraft/world/World::setBlocklightValue | net/minecraft/world/World::placeNaturallyOccurringSnow,com/sk89q/worldedit/forge/ForgeWorld
method,func_72863_F,net/minecraft/world/World,()Lnet/minecraft/world/chunk/IChunkProvider;,getChunkProvider,net/minecraft/world/World::createChunkProvider | net/minecraft/world/World::getChunkProvider,com/sk89q/worldedit/forge/ForgeWorld
